date,Arsenal Football Club,isPartial
2015-08-09 11:04:00,35,False
2015-08-09 11:12:00,35,False
2015-08-09 11:20:00,29,False
2015-08-09 11:28:00,34,False
2015-08-09 11:36:00,28,False
2015-08-09 11:44:00,39,False
2015-08-09 11:52:00,38,False
2015-08-09 12:00:00,70,False
2015-08-09 12:08:00,43,False
2015-08-09 12:16:00,21,False
2015-08-09 12:24:00,100,False
2015-08-09 12:32:00,63,False
2015-08-09 12:40:00,46,False
2015-08-09 12:48:00,67,False
2015-08-09 12:56:00,56,False
2015-08-09 13:04:00,60,False
2015-08-09 13:12:00,40,False
2015-08-09 13:20:00,73,False
2015-08-09 13:28:00,58,False
2015-08-09 13:36:00,58,False
2015-08-09 13:44:00,82,False
2015-08-09 13:52:00,96,False
2015-08-09 14:00:00,62,False
2015-08-09 14:08:00,57,False
2015-08-09 14:16:00,94,False
2015-08-09 14:24:00,74,False
2015-08-09 14:32:00,60,False
2015-08-09 14:40:00,93,False
2015-08-09 14:48:00,46,False
2015-08-09 14:56:00,32,False
2015-08-09 15:04:00,79,False
2015-08-09 15:12:00,51,False
2015-08-09 15:20:00,28,False
2015-08-09 15:28:00,37,False
2015-08-09 15:36:00,28,False
2015-08-09 15:44:00,37,False
2015-08-09 15:52:00,60,False
2015-08-09 16:00:00,42,False
2015-08-09 16:08:00,65,False
2015-08-09 16:16:00,28,False
2015-08-09 16:24:00,14,False
2015-08-09 16:32:00,43,False
2015-08-09 16:40:00,24,False
2015-08-09 16:48:00,9,False
2015-08-09 16:56:00,47,False
2015-08-16 11:04:00,57,False
2015-08-16 11:12:00,56,False
2015-08-16 11:20:00,28,False
2015-08-16 11:28:00,54,False
2015-08-16 11:36:00,34,False
2015-08-16 11:44:00,34,False
2015-08-16 11:52:00,40,False
2015-08-16 12:00:00,33,False
2015-08-16 12:08:00,46,False
2015-08-16 12:16:00,0,False
2015-08-16 12:24:00,51,False
2015-08-16 12:32:00,82,False
2015-08-16 12:40:00,100,False
2015-08-16 12:48:00,61,False
2015-08-16 12:56:00,61,False
2015-08-16 13:04:00,43,False
2015-08-16 13:12:00,66,False
2015-08-16 13:20:00,59,False
2015-08-16 13:28:00,59,False
2015-08-16 13:36:00,35,False
2015-08-16 13:44:00,46,False
2015-08-16 13:52:00,98,False
2015-08-16 14:00:00,69,False
2015-08-16 14:08:00,80,False
2015-08-16 14:16:00,96,False
2015-08-16 14:24:00,50,False
2015-08-16 14:32:00,72,False
2015-08-16 14:40:00,67,False
2015-08-16 14:48:00,61,False
2015-08-16 14:56:00,61,False
2015-08-16 15:04:00,28,False
2015-08-16 15:12:00,22,False
2015-08-16 15:20:00,33,False
2015-08-16 15:28:00,17,False
2015-08-16 15:36:00,22,False
2015-08-16 15:44:00,39,False
2015-08-16 15:52:00,33,False
2015-08-16 16:00:00,44,False
2015-08-16 16:08:00,61,False
2015-08-16 16:16:00,17,False
2015-08-16 16:24:00,56,False
2015-08-16 16:32:00,39,False
2015-08-16 16:40:00,17,False
2015-08-16 16:48:00,33,False
2015-08-16 16:56:00,39,False
2015-08-24 18:00:00,46,False
2015-08-24 18:08:00,33,False
2015-08-24 18:16:00,33,False
2015-08-24 18:24:00,29,False
2015-08-24 18:32:00,54,False
2015-08-24 18:40:00,46,False
2015-08-24 18:48:00,46,False
2015-08-24 18:56:00,67,False
2015-08-24 19:04:00,85,False
2015-08-24 19:12:00,51,False
2015-08-24 19:20:00,43,False
2015-08-24 19:28:00,43,False
2015-08-24 19:36:00,65,False
2015-08-24 19:44:00,68,False
2015-08-24 19:52:00,57,False
2015-08-24 20:00:00,62,False
2015-08-24 20:08:00,81,False
2015-08-24 20:16:00,91,False
2015-08-24 20:24:00,28,False
2015-08-24 20:32:00,33,False
2015-08-24 20:40:00,67,False
2015-08-24 20:48:00,100,False
2015-08-24 20:56:00,64,False
2015-08-24 21:04:00,40,False
2015-08-24 21:12:00,61,False
2015-08-24 21:20:00,42,False
2015-08-24 21:28:00,53,False
2015-08-24 21:36:00,38,False
2015-08-24 21:44:00,50,False
2015-08-24 21:52:00,17,False
2015-08-24 22:00:00,53,False
2015-08-24 22:08:00,47,False
2015-08-24 22:16:00,30,False
2015-08-24 22:24:00,37,False
2015-08-24 22:32:00,25,False
2015-08-24 22:40:00,19,False
2015-08-24 22:48:00,51,False
2015-08-24 22:56:00,0,False
2015-08-24 23:04:00,13,False
2015-08-24 23:12:00,26,False
2015-08-24 23:20:00,13,False
2015-08-24 23:28:00,20,False
2015-08-24 23:36:00,27,False
2015-08-24 23:44:00,0,False
2015-08-24 23:52:00,20,False
2015-08-25 00:00:00,14,False
2015-08-29 10:00:00,38,False
2015-08-29 10:08:00,47,False
2015-08-29 10:16:00,37,False
2015-08-29 10:24:00,65,False
2015-08-29 10:32:00,55,False
2015-08-29 10:40:00,36,False
2015-08-29 10:48:00,27,False
2015-08-29 10:56:00,71,False
2015-08-29 11:04:00,27,False
2015-08-29 11:12:00,52,False
2015-08-29 11:20:00,59,False
2015-08-29 11:28:00,25,False
2015-08-29 11:36:00,42,False
2015-08-29 11:44:00,66,False
2015-08-29 11:52:00,41,False
2015-08-29 12:00:00,65,False
2015-08-29 12:08:00,72,False
2015-08-29 12:16:00,71,False
2015-08-29 12:24:00,39,False
2015-08-29 12:32:00,100,False
2015-08-29 12:40:00,92,False
2015-08-29 12:48:00,45,False
2015-08-29 12:56:00,67,False
2015-08-29 13:04:00,45,False
2015-08-29 13:12:00,22,False
2015-08-29 13:20:00,58,False
2015-08-29 13:28:00,36,False
2015-08-29 13:36:00,71,False
2015-08-29 13:44:00,43,False
2015-08-29 13:52:00,49,False
2015-08-29 14:00:00,49,False
2015-08-29 14:08:00,28,False
2015-08-29 14:16:00,21,False
2015-08-29 14:24:00,48,False
2015-08-29 14:32:00,14,False
2015-08-29 14:40:00,62,False
2015-08-29 14:48:00,48,False
2015-08-29 14:56:00,41,False
2015-08-29 15:04:00,27,False
2015-08-29 15:12:00,27,False
2015-08-29 15:20:00,28,False
2015-08-29 15:28:00,14,False
2015-08-29 15:36:00,55,False
2015-08-29 15:44:00,42,False
2015-08-29 15:52:00,20,False
2015-08-29 16:00:00,62,False
2015-09-12 13:04:00,22,False
2015-09-12 13:12:00,7,False
2015-09-12 13:20:00,35,False
2015-09-12 13:28:00,28,False
2015-09-12 13:36:00,7,False
2015-09-12 13:44:00,48,False
2015-09-12 13:52:00,34,False
2015-09-12 14:00:00,27,False
2015-09-12 14:08:00,88,False
2015-09-12 14:16:00,40,False
2015-09-12 14:24:00,74,False
2015-09-12 14:32:00,80,False
2015-09-12 14:40:00,47,False
2015-09-12 14:48:00,33,False
2015-09-12 14:56:00,99,False
2015-09-12 15:04:00,40,False
2015-09-12 15:12:00,73,False
2015-09-12 15:20:00,47,False
2015-09-12 15:28:00,60,False
2015-09-12 15:36:00,73,False
2015-09-12 15:44:00,60,False
2015-09-12 15:52:00,53,False
2015-09-12 16:00:00,46,False
2015-09-12 16:08:00,73,False
2015-09-12 16:16:00,86,False
2015-09-12 16:24:00,100,False
2015-09-12 16:32:00,47,False
2015-09-12 16:40:00,34,False
2015-09-12 16:48:00,20,False
2015-09-12 16:56:00,34,False
2015-09-12 17:04:00,14,False
2015-09-12 17:12:00,68,False
2015-09-12 17:20:00,34,False
2015-09-12 17:28:00,41,False
2015-09-12 17:36:00,35,False
2015-09-12 17:44:00,14,False
2015-09-12 17:52:00,28,False
2015-09-12 18:00:00,35,False
2015-09-12 18:08:00,50,False
2015-09-12 18:16:00,42,False
2015-09-12 18:24:00,49,False
2015-09-12 18:32:00,29,False
2015-09-12 18:40:00,29,False
2015-09-12 18:48:00,80,False
2015-09-12 18:56:00,37,False
2015-09-19 10:00:00,52,False
2015-09-19 10:08:00,17,False
2015-09-19 10:16:00,0,False
2015-09-19 10:24:00,42,False
2015-09-19 10:32:00,59,False
2015-09-19 10:40:00,41,False
2015-09-19 10:48:00,49,False
2015-09-19 10:56:00,49,False
2015-09-19 11:04:00,40,False
2015-09-19 11:12:00,47,False
2015-09-19 11:20:00,55,False
2015-09-19 11:28:00,23,False
2015-09-19 11:36:00,61,False
2015-09-19 11:44:00,38,False
2015-09-19 11:52:00,59,False
2015-09-19 12:00:00,52,False
2015-09-19 12:08:00,58,False
2015-09-19 12:16:00,58,False
2015-09-19 12:24:00,86,False
2015-09-19 12:32:00,71,False
2015-09-19 12:40:00,69,False
2015-09-19 12:48:00,55,False
2015-09-19 12:56:00,69,False
2015-09-19 13:04:00,48,False
2015-09-19 13:12:00,61,False
2015-09-19 13:20:00,94,False
2015-09-19 13:28:00,100,False
2015-09-19 13:36:00,98,False
2015-09-19 13:44:00,84,False
2015-09-19 13:52:00,65,False
2015-09-19 14:00:00,45,False
2015-09-19 14:08:00,64,False
2015-09-19 14:16:00,96,False
2015-09-19 14:24:00,38,False
2015-09-19 14:32:00,45,False
2015-09-19 14:40:00,63,False
2015-09-19 14:48:00,44,False
2015-09-19 14:56:00,51,False
2015-09-19 15:04:00,45,False
2015-09-19 15:12:00,25,False
2015-09-19 15:20:00,38,False
2015-09-19 15:28:00,25,False
2015-09-19 15:36:00,51,False
2015-09-19 15:44:00,38,False
2015-09-19 15:52:00,63,False
2015-09-19 16:00:00,13,False
2015-09-26 13:04:00,13,False
2015-09-26 13:12:00,45,False
2015-09-26 13:20:00,25,False
2015-09-26 13:28:00,19,False
2015-09-26 13:36:00,25,False
2015-09-26 13:44:00,31,False
2015-09-26 13:52:00,43,False
2015-09-26 14:00:00,12,False
2015-09-26 14:08:00,18,False
2015-09-26 14:16:00,48,False
2015-09-26 14:24:00,12,False
2015-09-26 14:32:00,30,False
2015-09-26 14:40:00,48,False
2015-09-26 14:48:00,59,False
2015-09-26 14:56:00,47,False
2015-09-26 15:04:00,35,False
2015-09-26 15:12:00,47,False
2015-09-26 15:20:00,76,False
2015-09-26 15:28:00,53,False
2015-09-26 15:36:00,100,False
2015-09-26 15:44:00,65,False
2015-09-26 15:52:00,46,False
2015-09-26 16:00:00,52,False
2015-09-26 16:08:00,47,False
2015-09-26 16:16:00,59,False
2015-09-26 16:24:00,65,False
2015-09-26 16:32:00,41,False
2015-09-26 16:40:00,47,False
2015-09-26 16:48:00,89,False
2015-09-26 16:56:00,60,False
2015-09-26 17:04:00,54,False
2015-09-26 17:12:00,30,False
2015-09-26 17:20:00,6,False
2015-09-26 17:28:00,24,False
2015-09-26 17:36:00,49,False
2015-09-26 17:44:00,18,False
2015-09-26 17:52:00,43,False
2015-09-26 18:00:00,56,False
2015-09-26 18:08:00,19,False
2015-09-26 18:16:00,6,False
2015-09-26 18:24:00,44,False
2015-09-26 18:32:00,26,False
2015-09-26 18:40:00,26,False
2015-09-26 18:48:00,51,False
2015-09-26 18:56:00,26,False
2015-10-04 14:00:00,39,False
2015-10-04 14:08:00,43,False
2015-10-04 14:16:00,15,False
2015-10-04 14:24:00,41,False
2015-10-04 14:32:00,46,False
2015-10-04 14:40:00,23,False
2015-10-04 14:48:00,34,False
2015-10-04 14:56:00,41,False
2015-10-04 15:04:00,56,False
2015-10-04 15:12:00,100,False
2015-10-04 15:20:00,92,False
2015-10-04 15:28:00,81,False
2015-10-04 15:36:00,96,False
2015-10-04 15:44:00,88,False
2015-10-04 15:52:00,55,False
2015-10-04 16:00:00,77,False
2015-10-04 16:08:00,52,False
2015-10-04 16:16:00,84,False
2015-10-04 16:24:00,81,False
2015-10-04 16:32:00,51,False
2015-10-04 16:40:00,77,False
2015-10-04 16:48:00,91,False
2015-10-04 16:56:00,69,False
2015-10-04 17:04:00,67,False
2015-10-04 17:12:00,37,False
2015-10-04 17:20:00,41,False
2015-10-04 17:28:00,44,False
2015-10-04 17:36:00,37,False
2015-10-04 17:44:00,48,False
2015-10-04 17:52:00,55,False
2015-10-04 18:00:00,7,False
2015-10-04 18:08:00,15,False
2015-10-04 18:16:00,42,False
2015-10-04 18:24:00,15,False
2015-10-04 18:32:00,38,False
2015-10-04 18:40:00,19,False
2015-10-04 18:48:00,42,False
2015-10-04 18:56:00,23,False
2015-10-04 19:04:00,46,False
2015-10-04 19:12:00,47,False
2015-10-04 19:20:00,35,False
2015-10-04 19:28:00,48,False
2015-10-04 19:36:00,20,False
2015-10-04 19:44:00,33,False
2015-10-04 19:52:00,50,False
2015-10-04 20:00:00,29,False
2015-10-17 15:04:00,26,False
2015-10-17 15:12:00,0,False
2015-10-17 15:20:00,11,False
2015-10-17 15:28:00,4,False
2015-10-17 15:36:00,37,False
2015-10-17 15:44:00,18,False
2015-10-17 15:52:00,18,False
2015-10-17 16:00:00,37,False
2015-10-17 16:08:00,11,False
2015-10-17 16:16:00,15,False
2015-10-17 16:24:00,41,False
2015-10-17 16:32:00,45,False
2015-10-17 16:40:00,15,False
2015-10-17 16:48:00,45,False
2015-10-17 16:56:00,11,False
2015-10-17 17:04:00,49,False
2015-10-17 17:12:00,15,False
2015-10-17 17:20:00,45,False
2015-10-17 17:28:00,23,False
2015-10-17 17:36:00,31,False
2015-10-17 17:44:00,38,False
2015-10-17 17:52:00,100,False
2015-10-17 18:00:00,86,False
2015-10-17 18:08:00,55,False
2015-10-17 18:16:00,43,False
2015-10-17 18:24:00,52,False
2015-10-17 18:32:00,56,False
2015-10-17 18:40:00,36,False
2015-10-17 18:48:00,41,False
2015-10-17 18:56:00,41,False
2015-10-17 19:04:00,29,False
2015-10-17 19:12:00,46,False
2015-10-17 19:20:00,34,False
2015-10-17 19:28:00,30,False
2015-10-17 19:36:00,21,False
2015-10-17 19:44:00,34,False
2015-10-17 19:52:00,39,False
2015-10-17 20:00:00,18,False
2015-10-17 20:08:00,18,False
2015-10-17 20:16:00,18,False
2015-10-17 20:24:00,40,False
2015-10-17 20:32:00,27,False
2015-10-17 20:40:00,14,False
2015-10-17 20:48:00,37,False
2015-10-17 20:56:00,9,False
2015-10-24 15:04:00,5,False
2015-10-24 15:12:00,5,False
2015-10-24 15:20:00,14,False
2015-10-24 15:28:00,33,False
2015-10-24 15:36:00,19,False
2015-10-24 15:44:00,23,False
2015-10-24 15:52:00,46,False
2015-10-24 16:00:00,23,False
2015-10-24 16:08:00,19,False
2015-10-24 16:16:00,37,False
2015-10-24 16:24:00,37,False
2015-10-24 16:32:00,33,False
2015-10-24 16:40:00,43,False
2015-10-24 16:48:00,57,False
2015-10-24 16:56:00,80,False
2015-10-24 17:04:00,100,False
2015-10-24 17:12:00,71,False
2015-10-24 17:20:00,43,False
2015-10-24 17:28:00,67,False
2015-10-24 17:36:00,68,False
2015-10-24 17:44:00,49,False
2015-10-24 17:52:00,39,False
2015-10-24 18:00:00,50,False
2015-10-24 18:08:00,40,False
2015-10-24 18:16:00,60,False
2015-10-24 18:24:00,45,False
2015-10-24 18:32:00,41,False
2015-10-24 18:40:00,71,False
2015-10-24 18:48:00,46,False
2015-10-24 18:56:00,47,False
2015-10-24 19:04:00,26,False
2015-10-24 19:12:00,42,False
2015-10-24 19:20:00,42,False
2015-10-24 19:28:00,80,False
2015-10-24 19:36:00,43,False
2015-10-24 19:44:00,32,False
2015-10-24 19:52:00,38,False
2015-10-24 20:00:00,44,False
2015-10-24 20:08:00,39,False
2015-10-24 20:16:00,66,False
2015-10-24 20:24:00,45,False
2015-10-24 20:32:00,29,False
2015-10-24 20:40:00,28,False
2015-10-24 20:48:00,40,False
2015-10-24 20:56:00,29,False
2015-10-31 13:04:00,26,False
2015-10-31 13:12:00,26,False
2015-10-31 13:20:00,19,False
2015-10-31 13:28:00,32,False
2015-10-31 13:36:00,19,False
2015-10-31 13:44:00,6,False
2015-10-31 13:52:00,31,False
2015-10-31 14:00:00,31,False
2015-10-31 14:08:00,12,False
2015-10-31 14:16:00,18,False
2015-10-31 14:24:00,24,False
2015-10-31 14:32:00,24,False
2015-10-31 14:40:00,53,False
2015-10-31 14:48:00,35,False
2015-10-31 14:56:00,12,False
2015-10-31 15:04:00,35,False
2015-10-31 15:12:00,18,False
2015-10-31 15:20:00,29,False
2015-10-31 15:28:00,47,False
2015-10-31 15:36:00,41,False
2015-10-31 15:44:00,40,False
2015-10-31 15:52:00,58,False
2015-10-31 16:00:00,35,False
2015-10-31 16:08:00,41,False
2015-10-31 16:16:00,35,False
2015-10-31 16:24:00,59,False
2015-10-31 16:32:00,100,False
2015-10-31 16:40:00,65,False
2015-10-31 16:48:00,69,False
2015-10-31 16:56:00,75,False
2015-10-31 17:04:00,35,False
2015-10-31 17:12:00,77,False
2015-10-31 17:20:00,90,False
2015-10-31 17:28:00,66,False
2015-10-31 17:36:00,30,False
2015-10-31 17:44:00,86,False
2015-10-31 17:52:00,96,False
2015-10-31 18:00:00,18,False
2015-10-31 18:08:00,31,False
2015-10-31 18:16:00,62,False
2015-10-31 18:24:00,50,False
2015-10-31 18:32:00,51,False
2015-10-31 18:40:00,57,False
2015-10-31 18:48:00,26,False
2015-10-31 18:56:00,32,False
2015-11-08 14:00:00,28,False
2015-11-08 14:08:00,33,False
2015-11-08 14:16:00,14,False
2015-11-08 14:24:00,32,False
2015-11-08 14:32:00,18,False
2015-11-08 14:40:00,18,False
2015-11-08 14:48:00,14,False
2015-11-08 14:56:00,50,False
2015-11-08 15:04:00,36,False
2015-11-08 15:12:00,36,False
2015-11-08 15:20:00,22,False
2015-11-08 15:28:00,53,False
2015-11-08 15:36:00,49,False
2015-11-08 15:44:00,44,False
2015-11-08 15:52:00,48,False
2015-11-08 16:00:00,48,False
2015-11-08 16:08:00,61,False
2015-11-08 16:16:00,22,False
2015-11-08 16:24:00,43,False
2015-11-08 16:32:00,52,False
2015-11-08 16:40:00,35,False
2015-11-08 16:48:00,64,False
2015-11-08 16:56:00,52,False
2015-11-08 17:04:00,56,False
2015-11-08 17:12:00,35,False
2015-11-08 17:20:00,52,False
2015-11-08 17:28:00,39,False
2015-11-08 17:36:00,100,False
2015-11-08 17:44:00,65,False
2015-11-08 17:52:00,73,False
2015-11-08 18:00:00,57,False
2015-11-08 18:08:00,84,False
2015-11-08 18:16:00,26,False
2015-11-08 18:24:00,27,False
2015-11-08 18:32:00,53,False
2015-11-08 18:40:00,40,False
2015-11-08 18:48:00,53,False
2015-11-08 18:56:00,58,False
2015-11-08 19:04:00,36,False
2015-11-08 19:12:00,49,False
2015-11-08 19:20:00,27,False
2015-11-08 19:28:00,46,False
2015-11-08 19:36:00,32,False
2015-11-08 19:44:00,0,False
2015-11-08 19:52:00,28,False
2015-11-08 20:00:00,33,False
2015-11-21 13:04:00,17,False
2015-11-21 13:12:00,26,False
2015-11-21 13:20:00,17,False
2015-11-21 13:28:00,42,False
2015-11-21 13:36:00,25,False
2015-11-21 13:44:00,17,False
2015-11-21 13:52:00,17,False
2015-11-21 14:00:00,16,False
2015-11-21 14:08:00,49,False
2015-11-21 14:16:00,32,False
2015-11-21 14:24:00,40,False
2015-11-21 14:32:00,16,False
2015-11-21 14:40:00,48,False
2015-11-21 14:48:00,24,False
2015-11-21 14:56:00,31,False
2015-11-21 15:04:00,39,False
2015-11-21 15:12:00,39,False
2015-11-21 15:20:00,70,False
2015-11-21 15:28:00,78,False
2015-11-21 15:36:00,77,False
2015-11-21 15:44:00,61,False
2015-11-21 15:52:00,54,False
2015-11-21 16:00:00,23,False
2015-11-21 16:08:00,92,False
2015-11-21 16:16:00,92,False
2015-11-21 16:24:00,69,False
2015-11-21 16:32:00,61,False
2015-11-21 16:40:00,100,False
2015-11-21 16:48:00,61,False
